uv_power_mw_cm2,exposure_seconds,dose_mJ_cm2,distance_cm,temp_c,initial_cfu_log,D90_mJ_cm2,spectral_410nm,spectral_435nm,spectral_500nm,spectral_560nm,spectral_585nm,spectral_630nm,target_log_reduction
1.5024,575.868,865.196,11.874,21.22,5.666,6.073,960.75,917.78,794.33,891.18,994.0,908.82,5.666
0.4277,511.023,218.571,19.15,8.11,2.245,7.203,822.77,800.37,800.38,859.95,795.79,693.18,2.179
1.7971,518.342,931.527,24.014,27.51,7.817,5.666,1091.0,1060.05,1054.63,987.31,878.85,885.17,7.817
0.4182,244.361,102.199,9.137,10.0,7.512,5.562,1115.87,976.49,926.59,1027.16,982.88,951.16,7.512
0.3895,457.536,178.196,17.147,11.58,4.285,5.146,937.72,871.64,859.39,884.78,773.39,837.37,4.285
0.0827,86.754,7.177,21.553,26.12,5.093,4.654,854.09,821.85,787.49,981.45,906.57,794.12,3.949
0.9494,5.667,5.38,4.899,15.92,4.797,2.721,901.51,1012.41,784.27,866.23,770.45,756.27,4.174
1.134,12.474,14.146,24.608,4.62,7.293,4.848,1121.2,983.12,899.32,827.22,916.71,933.95,6.915
0.1408,352.168,49.571,18.577,16.86,6.132,5.603,908.73,978.02,958.49,868.39,958.94,732.03,6.062
1.5533,273.509,424.842,28.537,6.2,3.669,6.005,903.01,842.61,872.55,781.15,808.91,794.5,3.616
0.912,311.05,283.692,10.846,29.62,4.681,5.451,1001.4,880.94,876.76,951.11,820.76,775.75,4.681
1.0535,4.974,5.24,4.136,19.29,4.574,4.418,886.66,893.87,896.67,866.53,762.65,789.44,3.252
0.8871,253.901,225.24,15.689,10.67,7.756,4.857,1074.44,942.56,952.72,867.74,885.12,913.96,7.73
0.8075,430.982,348.026,3.489,18.66,3.052,3.616,884.83,874.18,935.16,846.61,742.92,822.76,3.046
1.1237,265.895,298.782,29.116,6.0,2.537,5.783,865.15,887.59,757.69,824.07,795.65,696.79,2.537
0.3189,439.465,140.158,2.122,24.8,7.284,4.447,1067.77,950.26,1030.73,893.04,936.72,800.02,7.27
0.372,140.195,52.158,22.852,28.06,7.38,5.451,1084.61,995.4,977.98,904.25,939.79,944.31,7.356
1.725,487.979,841.74,16.228,26.74,7.23,7.502,1046.46,947.22,948.3,930.78,850.93,746.91,7.17
1.8928,353.265,668.648,11.69,12.89,5.066,3.227,903.77,948.8,887.41,759.08,817.26,774.37,5.004
0.7529,126.852,95.505,2.909,12.47,5.958,6.492,971.17,933.45,910.98,886.22,907.96,999.73,5.958
0.5488,142.414,78.154,19.043,4.91,5.38,5.083,977.55,848.42,889.21,980.81,923.66,860.03,5.364
1.2916,377.004,486.923,17.971,20.94,2.417,10.053,919.0,832.67,747.65,715.69,798.49,732.5,2.417
0.8234,498.049,410.084,9.146,17.91,5.575,4.459,999.14,956.64,895.77,924.26,837.41,705.01,5.575
0.0605,249.669,15.11,27.396,15.94,2.082,6.738,901.45,971.48,748.88,793.33,688.79,575.22,1.846
0.3207,155.351,49.828,9.819,27.6,3.95,5.038,817.1,750.23,883.79,812.57,862.97,840.03,3.95
1.4348,520.273,746.48,14.042,8.36,7.594,1.529,1023.86,981.09,868.84,1023.13,902.1,808.55,7.594
1.3213,401.726,530.784,16.769,4.25,3.824,3.698,1051.04,906.81,803.99,888.55,723.61,794.98,3.695
0.0639,269.127,17.203,3.907,5.91,7.639,7.201,964.0,942.82,955.72,952.01,854.95,976.02,6.814
0.4517,292.996,132.354,28.033,9.81,3.501,3.918,931.22,835.36,824.9,835.24,827.3,726.16,3.501
0.4698,122.952,57.768,11.862,4.87,3.887,0.8,885.81,864.99,921.42,755.69,871.0,741.68,3.853
1.3471,376.268,506.858,3.343,17.07,5.77,4.921,923.68,844.26,838.64,870.21,667.78,900.93,5.77
0.0492,215.566,10.611,12.231,12.17,6.57,2.269,1011.51,944.4,979.59,938.41,877.09,948.54,6.49
0.2172,597.389,129.739,18.406,8.69,5.008,5.33,954.21,906.28,955.62,847.53,765.05,894.1,5.008
1.6018,288.37,461.921,15.896,23.5,7.293,8.878,922.95,1096.71,995.44,908.26,907.34,998.29,7.255
0.3653,291.788,106.591,21.142,9.32,2.241,6.924,919.5,818.29,781.03,843.87,776.58,586.26,2.241
1.309,339.728,444.692,2.609,21.88,7.533,8.842,1013.78,1025.05,925.07,943.16,816.02,906.05,7.533
0.484,550.095,266.237,9.252,13.08,3.178,3.596,889.49,831.62,813.68,784.72,768.16,828.61,3.178
0.2079,480.59,99.909,24.758,17.31,7.305,4.642,1060.7,955.36,984.65,1013.26,951.57,907.22,7.264
0.4939,270.952,133.827,3.317,28.28,4.405,2.389,949.24,901.71,925.52,925.94,872.51,806.41,4.405
1.4473,431.36,624.312,25.809,4.97,6.997,3.29,1040.81,1021.1,969.08,1019.13,891.12,776.2,6.997
1.7128,351.948,602.83,3.665,17.01,6.03,2.683,1046.6,983.39,944.16,777.13,911.46,795.16,6.018
1.6621,295.674,491.451,25.199,26.21,3.056,1.733,899.18,918.15,805.63,801.43,760.51,846.04,3.028
0.8004,115.793,92.68,11.463,19.29,7.508,8.415,1123.18,936.21,1028.97,974.5,907.46,896.87,7.488
1.3395,278.63,373.222,18.754,11.2,3.473,0.8,960.8,863.13,809.68,711.51,686.87,736.18,3.473
0.4179,147.868,61.797,5.434,14.34,3.465,8.425,888.35,907.39,860.68,870.71,816.55,679.7,3.465
0.5934,548.948,325.726,2.919,21.69,6.885,8.115,1007.31,947.26,887.87,894.55,933.51,888.4,6.885
1.7937,201.576,361.569,7.262,27.16,2.635,6.249,864.69,892.27,850.86,791.14,787.7,685.16,2.635
0.0359,571.382,20.498,4.708,5.07,3.332,2.214,845.76,864.15,831.26,765.72,749.14,763.03,3.332
0.1802,320.067,57.664,10.06,5.86,5.022,1.045,947.27,944.36,976.92,885.52,835.53,915.68,5.022
0.4237,379.111,160.627,15.917,12.45,6.983,3.629,981.69,993.26,940.84,944.51,846.25,904.72,6.983
0.0628,325.993,20.472,18.074,10.05,2.885,6.563,895.08,805.85,809.95,812.68,795.58,813.8,2.738
0.3711,78.064,28.966,23.906,10.89,5.286,5.008,1031.65,908.49,826.68,856.68,832.65,831.16,5.286
1.1703,225.805,264.249,20.031,9.75,6.267,2.391,971.04,962.58,963.44,873.57,944.31,918.81,6.267
0.8486,59.938,50.866,18.654,9.09,7.164,7.871,1047.28,899.56,926.88,852.78,891.11,946.58,6.96
1.7864,373.961,668.05,12.942,7.4,7.613,9.211,987.22,957.99,927.19,793.58,950.61,809.11,7.613
1.6367,268.401,439.295,14.74,28.28,6.708,4.434,979.98,1008.25,1003.4,876.95,925.31,873.98,6.606
0.6902,466.902,322.263,13.021,7.75,5.917,5.273,959.51,979.92,961.32,921.44,927.35,784.45,5.917
0.5263,132.672,69.819,25.423,9.31,4.602,1.228,866.71,972.48,914.69,798.8,862.64,743.33,4.602
0.7656,99.157,75.914,7.67,10.4,2.673,3.964,851.88,840.18,823.82,840.58,713.76,731.29,2.673
1.1847,244.096,289.178,1.166,28.26,6.258,6.276,981.67,1032.2,819.98,928.99,881.6,766.89,6.258
0.5434,555.988,302.15,19.888,23.65,7.956,5.887,975.23,1016.55,970.99,1012.28,1036.67,916.89,7.956
1.2521,426.398,533.874,6.871,24.53,6.421,3.731,960.56,939.64,879.04,838.42,980.28,882.63,6.381
0.8247,251.645,207.539,26.813,6.72,2.1,4.314,906.12,861.02,706.89,775.32,662.04,721.39,2.1
1.1086,310.605,344.328,25.912,25.74,4.978,3.882,786.87,982.77,937.85,914.92,849.42,770.85,4.978
0.8779,50.986,44.76,3.225,14.61,5.688,4.304,951.2,922.02,941.89,871.42,871.89,900.4,5.688
0.596,590.753,352.081,4.085,10.83,6.138,6.058,1021.78,941.35,981.22,889.04,918.61,762.41,6.05
1.8974,400.011,758.99,15.36,18.97,6.318,0.8,880.82,988.61,946.74,837.67,976.07,785.65,6.318
1.5296,171.6,262.475,18.667,25.38,5.349,4.814,969.75,903.82,908.82,879.72,722.6,864.26,5.272
0.2888,351.692,101.578,8.972,24.24,3.34,5.875,865.7,852.84,771.27,710.34,807.24,816.37,3.26
1.7383,66.135,114.959,21.787,27.14,7.653,3.574,995.99,989.06,902.42,894.15,885.43,864.91,7.653
0.98,579.519,567.922,18.253,28.13,6.18,3.802,979.82,951.4,917.99,817.54,844.35,985.07,6.18
1.7902,105.284,188.474,10.42,10.19,3.421,3.874,798.57,879.56,870.77,779.75,713.85,734.3,3.421
1.6017,388.994,623.057,1.736,15.02,3.934,3.802,896.41,886.71,831.52,811.68,793.73,817.07,3.906
0.8562,147.65,126.414,22.754,4.38,7.532,5.015,1027.95,1006.06,909.35,831.12,878.39,776.34,7.521
0.0547,430.678,23.564,7.228,26.86,7.325,5.323,1107.17,1004.73,914.84,904.01,858.13,781.19,7.254
0.5447,466.204,253.927,25.2,8.02,4.431,0.8,962.84,954.2,808.0,850.02,757.9,840.1,4.362
1.0879,404.215,439.726,13.188,26.4,2.23,6.632,911.22,809.0,741.24,837.8,797.59,837.64,2.172
1.2706,368.892,468.723,17.735,12.56,2.291,4.275,897.83,877.62,919.81,741.82,807.55,724.31,2.291
0.5232,535.535,280.19,26.316,13.57,3.704,9.832,837.2,851.25,879.53,807.78,802.17,921.47,3.66
0.2873,47.637,13.687,26.045,5.02,5.775,2.021,1009.23,948.78,823.73,790.0,762.65,905.73,5.775
1.6715,198.883,332.436,11.774,12.5,5.505,2.832,1011.18,961.38,775.16,927.48,854.91,797.88,5.505
1.969,149.348,294.061,7.058,27.1,5.803,4.493,1026.52,944.37,916.0,895.78,916.99,803.97,5.679
1.0561,592.814,626.085,23.479,4.66,6.304,6.033,975.76,953.94,882.98,859.04,866.21,728.83,6.304
0.3516,233.939,82.263,13.559,14.56,2.114,0.8,896.27,837.78,868.89,670.04,660.9,696.87,2.114
0.5519,439.701,242.667,6.569,4.82,2.631,2.927,968.65,837.94,762.84,712.47,705.06,778.57,2.631
0.0466,410.993,19.151,27.228,13.64,4.157,6.478,987.75,836.27,900.45,783.68,876.45,745.84,3.929
1.8295,127.643,233.517,6.745,8.49,2.929,2.63,813.38,877.6,797.74,882.69,767.31,764.38,2.854
0.2443,143.779,35.129,1.748,10.56,2.452,8.425,810.76,874.64,767.02,674.94,750.54,793.61,2.452
1.1573,169.13,195.729,1.588,26.82,5.846,3.865,918.48,865.0,933.58,826.73,838.05,898.06,5.838
0.5554,246.971,137.16,19.047,15.34,6.892,2.752,1168.27,963.14,989.76,931.24,889.74,958.84,6.821
1.1128,140.978,156.882,20.189,11.12,6.516,6.526,1133.16,1045.39,924.97,845.7,896.12,849.91,6.516
1.3063,12.281,16.043,10.02,19.32,6.902,9.019,988.93,895.95,1066.35,962.69,891.8,914.04,5.677
1.6612,527.696,876.602,10.28,7.69,5.995,6.041,1083.18,1062.4,915.54,846.88,790.45,892.25,5.919
0.4208,579.383,243.792,10.845,10.74,6.412,8.151,1029.02,998.56,901.24,809.02,842.74,901.65,6.382
0.0319,205.271,6.544,20.725,18.2,3.631,9.192,900.21,858.03,921.68,959.25,732.48,690.04,1.796
0.2824,203.435,57.45,2.686,10.18,7.958,2.695,1120.34,1040.0,984.17,910.52,931.58,1011.9,7.885
1.801,4.752,8.558,27.944,21.66,3.099,7.346,861.71,900.12,944.71,843.39,854.43,786.38,2.197
1.749,408.31,714.152,7.453,16.78,3.287,1.191,922.29,806.37,798.02,765.99,873.5,655.43,3.278
1.1989,495.351,593.853,29.991,24.07,3.734,6.062,781.7,880.72,723.84,694.1,760.07,754.8,3.734
1.205,88.392,106.514,5.974,28.65,7.852,4.822,1028.83,1012.44,905.18,994.05,920.91,927.25,7.784
1.3334,96.22,128.302,23.375,7.01,7.93,8.107,1111.63,947.02,1050.74,935.21,822.28,898.16,7.792
0.359,474.155,170.216,7.479,12.7,6.769,7.931,1051.95,1049.88,849.04,922.7,886.38,922.96,6.769
1.8297,369.966,676.92,3.345,12.31,5.774,6.424,1047.58,803.39,876.85,838.09,775.28,858.83,5.774
0.8434,27.394,23.103,26.373,7.93,5.12,5.746,1038.4,1076.13,923.47,916.99,770.08,934.62,5.071
0.7724,373.717,288.676,25.904,25.07,7.824,6.271,1110.37,1111.97,1006.17,843.23,950.6,903.07,7.824
1.0426,185.696,193.615,12.704,23.76,6.174,5.154,983.11,840.54,873.39,949.07,907.79,853.43,6.174
0.1035,221.551,22.922,21.369,16.6,7.668,4.847,1059.93,1089.2,961.0,982.07,921.92,742.08,7.619
0.3409,461.954,157.482,17.155,17.98,3.899,8.606,907.05,905.47,851.05,792.69,705.9,844.21,3.727
1.4787,486.656,719.611,25.736,5.55,4.003,8.907,862.56,881.61,810.71,783.47,859.91,802.06,4.003
0.1748,240.514,42.034,10.137,18.44,7.128,4.646,973.02,931.29,896.04,962.6,882.73,864.42,7.128
1.2103,568.318,687.82,16.186,24.57,2.899,5.594,839.7,770.44,803.42,797.23,844.51,752.23,2.867
0.4982,244.174,121.659,15.076,18.92,7.676,5.204,1055.73,994.21,977.37,965.78,812.23,873.22,7.665
0.7847,463.216,363.485,11.263,10.9,5.045,0.971,957.78,963.1,856.32,874.9,863.12,811.4,5.039
0.5845,290.584,169.847,26.852,21.36,7.558,4.159,973.87,1084.33,914.59,897.5,917.02,879.16,7.544
0.7178,538.571,386.58,5.81,13.4,4.021,8.999,917.7,801.9,821.68,889.02,818.18,801.42,4.021
1.4409,544.703,784.863,5.336,18.17,6.296,3.126,1045.97,944.81,811.96,870.18,897.77,748.08,6.266
0.6013,52.906,31.811,17.73,16.68,4.897,10.286,969.83,828.02,853.08,793.41,759.4,761.89,4.689
1.1371,561.928,638.993,20.067,13.91,5.761,7.93,935.63,945.94,917.63,805.82,838.34,829.08,5.729
0.9573,495.408,474.274,6.644,22.69,5.026,6.004,853.01,1011.87,860.91,893.17,800.85,779.87,5.026
1.3307,474.891,631.94,12.331,26.98,7.803,6.402,909.63,911.46,922.81,1031.45,918.9,931.61,7.803
1.8743,120.946,226.689,28.45,4.14,6.153,2.707,1023.51,903.95,953.13,921.66,837.22,988.46,6.13
1.4678,483.169,709.204,8.152,28.27,3.508,4.337,869.43,879.54,862.83,836.65,812.22,728.17,3.354
0.4377,510.155,223.311,20.382,17.3,7.458,8.603,1018.49,1041.72,1009.26,995.72,872.96,741.91,7.458
0.0721,173.846,12.526,22.464,22.22,3.764,3.464,835.74,795.71,835.61,776.16,811.42,884.97,3.638
0.5319,571.38,303.92,13.996,26.25,4.23,7.653,899.35,970.62,878.06,931.49,997.73,921.74,4.225
1.1942,30.391,36.293,28.188,16.14,2.613,1.557,825.52,810.67,807.18,785.65,760.86,749.6,2.518
0.1123,90.371,10.152,22.363,25.71,7.4,2.005,1100.78,1046.26,885.83,933.47,801.26,881.34,7.4
0.9978,322.78,322.06,14.28,8.62,3.717,9.753,832.95,931.59,854.26,775.16,908.14,708.92,3.717
1.1977,345.688,414.036,17.511,8.14,3.554,4.97,905.48,899.81,819.84,776.43,826.96,778.34,3.554
0.6751,387.267,261.462,21.086,21.09,7.522,3.654,1106.61,1055.27,963.17,1013.28,961.25,882.33,7.522
1.5441,10.673,16.48,18.174,26.62,6.833,8.407,1034.25,1021.12,997.95,898.29,898.31,937.67,5.918
0.2221,576.24,128.0,26.482,27.2,2.846,8.115,867.65,902.2,771.27,840.38,722.95,632.01,2.755
0.1595,27.231,4.344,11.35,20.74,6.616,7.302,1075.0,1032.47,953.53,745.23,873.98,923.3,3.114
1.4591,86.266,125.87,9.697,17.66,7.478,3.575,1047.33,1016.52,891.67,963.86,864.65,826.12,7.404
0.996,8.902,8.866,7.201,12.62,2.471,4.283,841.57,823.02,801.18,850.42,723.34,776.18,2.138
1.3799,340.332,469.631,2.096,29.48,6.951,5.779,982.08,1033.94,985.13,900.6,948.49,765.51,6.951
0.8753,559.394,489.641,2.247,12.31,5.285,6.736,929.38,927.41,894.95,839.57,915.36,848.21,5.285
0.5003,399.735,200.004,26.232,23.35,6.015,3.729,928.43,936.95,908.86,810.68,853.95,831.25,6.015
1.64,493.683,809.647,20.673,17.83,4.957,5.427,974.3,953.13,788.07,851.54,838.55,815.84,4.925
1.6008,8.462,13.546,20.155,19.82,6.187,5.668,988.05,919.96,866.03,864.52,987.22,913.77,5.571
1.3924,325.438,453.155,18.825,14.23,2.205,8.217,887.77,842.57,748.17,821.0,691.26,682.29,2.205
0.5516,276.008,152.237,25.627,29.09,6.576,6.886,1016.43,1002.67,951.33,931.63,765.74,728.5,6.573
1.1846,299.631,354.931,14.928,18.86,2.2,1.233,834.14,828.73,724.46,855.2,803.9,678.68,2.187
0.7283,43.792,31.895,26.242,28.38,4.732,4.466,945.76,989.76,915.52,824.17,797.06,764.49,4.671
0.1922,410.819,78.979,11.424,4.2,2.906,2.678,774.68,778.41,816.27,744.39,725.59,659.57,2.906
1.8355,302.181,554.639,27.875,18.89,6.941,6.42,941.38,918.5,879.49,866.23,897.17,880.94,6.941
0.2823,459.207,129.62,21.261,22.65,3.882,7.308,852.94,874.83,837.94,751.02,873.23,801.91,3.881
1.901,291.432,554.004,8.458,23.37,4.725,5.254,1000.09,848.3,966.67,845.23,841.13,782.27,4.725
0.8976,90.054,80.828,17.358,27.53,4.573,4.33,846.04,909.52,843.25,882.16,720.77,857.88,4.573
0.3784,389.13,147.252,16.458,4.11,6.635,5.173,924.47,1033.72,953.12,904.16,891.43,763.01,6.587
1.0884,103.846,113.024,4.999,4.01,4.887,5.522,844.06,1007.66,807.96,891.11,853.82,772.53,4.887
1.7472,523.501,914.64,18.146,16.28,6.734,3.4,952.07,1018.71,940.48,826.16,840.26,874.59,6.682
1.4671,368.063,539.996,10.129,4.76,2.441,1.953,939.55,824.99,810.33,756.76,691.44,780.23,2.441
1.6151,94.744,153.016,2.518,29.34,3.15,0.8,849.76,926.13,792.41,806.84,784.06,762.4,3.104
1.321,577.422,762.762,28.511,9.77,5.309,8.168,1080.78,844.05,881.61,957.57,787.44,900.11,5.267
1.3876,311.26,431.914,19.603,16.29,7.683,6.241,1042.45,1028.56,970.71,993.11,842.9,863.75,7.566
1.6999,44.203,75.14,26.431,5.59,2.449,5.906,940.5,831.84,721.58,772.75,694.62,707.4,2.449
0.5068,376.286,190.717,20.606,17.57,2.259,8.163,915.88,785.43,814.67,663.48,690.41,731.93,2.259
0.984,152.293,149.849,11.353,13.88,2.939,1.861,881.8,825.85,760.77,787.91,796.38,754.41,2.939
0.4502,482.314,217.141,15.868,5.16,5.847,0.8,1075.19,898.97,838.05,826.51,834.81,740.73,5.847
1.9755,490.784,969.524,20.597,12.71,4.394,5.961,898.84,903.86,818.11,884.04,842.59,789.93,4.358
1.8887,587.379,1109.37,28.847,14.18,6.953,5.733,1077.34,1001.45,969.37,864.05,916.26,843.3,6.845
0.0885,301.371,26.659,8.356,29.74,2.432,0.8,910.77,829.64,852.75,783.25,741.07,723.74,2.334
1.4141,273.247,386.397,26.374,9.41,3.178,5.899,828.14,880.98,818.22,727.45,736.14,753.89,3.075
1.8512,452.209,837.149,27.798,18.16,3.8,3.999,839.09,886.87,922.48,738.27,769.73,796.26,3.8
0.3693,79.916,29.517,20.442,29.67,5.76,2.982,972.84,947.99,949.57,867.41,858.69,860.07,5.76
1.1402,328.376,374.418,28.007,24.59,6.111,4.166,1039.3,903.26,879.42,866.5,887.29,862.27,6.064
1.8318,327.975,600.793,12.538,29.83,2.745,0.8,906.24,863.42,696.95,821.03,821.45,743.54,2.668
0.0776,54.139,4.199,28.637,29.18,7.663,3.522,983.38,1023.07,961.55,832.33,931.07,887.99,5.268
1.3979,251.081,350.978,21.381,16.73,4.046,3.239,817.06,912.16,923.09,746.53,892.93,784.01,3.998
0.6017,512.044,308.11,2.218,22.11,6.279,6.393,1002.37,947.08,880.96,872.18,910.9,878.14,6.279
1.8495,513.764,950.232,27.299,6.87,5.145,4.604,955.37,923.06,807.73,868.44,800.01,902.67,5.143
1.9424,59.993,116.531,15.05,15.47,3.337,6.597,937.92,854.23,834.54,777.9,842.57,846.91,3.221
1.8891,54.887,103.687,14.349,25.03,7.077,0.8,986.11,913.49,968.53,866.35,842.1,794.84,7.077
0.9537,157.986,150.669,17.428,17.14,6.909,2.902,945.25,1013.13,991.39,837.69,928.1,736.28,6.818
1.7255,524.922,905.735,5.332,22.27,4.376,6.39,969.44,957.17,916.9,805.33,795.67,829.35,4.329
1.6907,77.777,131.494,14.606,23.39,5.532,4.228,989.52,861.74,876.88,785.86,795.62,839.44,5.532
0.645,432.138,278.733,25.103,10.59,3.547,7.114,960.75,853.81,787.47,856.68,825.58,760.0,3.547
1.6595,61.149,101.479,1.449,26.77,6.139,0.8,965.81,970.71,870.24,897.41,863.07,853.05,6.102
0.0836,374.071,31.289,8.915,15.96,3.854,6.828,867.79,915.45,809.33,756.57,698.09,740.02,3.716
1.1966,213.962,256.022,1.071,9.46,7.064,3.402,1022.83,998.32,1015.63,833.45,930.76,781.89,6.987
0.4677,473.454,221.443,13.056,26.5,3.304,3.16,799.03,787.89,771.3,692.17,741.79,682.0,3.232
0.2499,140.597,35.139,22.121,14.86,2.089,7.478,851.95,750.57,832.52,743.39,782.46,649.28,2.07
0.1631,383.701,62.596,24.164,23.51,3.611,7.905,942.85,907.12,726.7,726.9,806.92,833.76,3.611
1.3956,141.792,197.887,28.411,18.25,3.146,7.587,862.79,880.96,831.83,788.37,826.85,857.17,3.134
0.6864,428.339,293.991,18.647,13.93,5.05,10.097,873.44,906.38,793.37,900.05,708.12,738.24,5.047
1.4523,524.27,761.39,8.384,25.06,3.222,8.167,881.02,865.2,823.63,810.32,712.35,914.17,3.138
0.1401,76.518,10.717,27.8,19.2,6.579,3.011,1051.35,980.51,920.83,879.72,909.08,719.93,6.415
0.6374,520.024,331.478,23.484,14.15,3.448,5.354,856.7,837.03,829.51,872.39,952.82,718.85,3.448
1.0836,356.348,386.135,17.658,6.85,6.242,4.1,993.89,1010.28,866.63,858.86,881.03,856.55,6.229
1.5835,76.703,121.462,21.174,27.28,5.471,10.073,1031.17,997.84,920.74,858.99,804.46,619.59,5.456
0.6443,256.811,165.468,27.805,4.92,7.917,7.762,1089.29,964.34,977.71,958.19,986.44,966.6,7.917
1.2555,96.936,121.705,21.659,26.44,7.999,4.528,1068.45,997.15,971.92,950.63,903.18,842.34,7.999
1.7731,420.359,745.336,11.683,13.36,7.217,7.195,1028.44,978.59,994.17,860.38,901.14,890.03,7.146
1.2356,455.441,562.729,21.678,20.62,6.56,1.92,986.89,949.01,972.72,878.2,896.56,881.4,6.56
0.4736,63.925,30.274,2.168,27.98,4.319,5.626,897.36,828.29,857.1,879.32,897.62,685.72,4.319
0.0586,303.931,17.797,12.206,7.94,6.52,2.655,979.55,1047.05,838.47,854.93,892.94,1017.42,6.514
1.7415,488.868,851.362,12.783,18.74,7.74,0.8,1036.44,1001.0,925.45,965.6,905.08,919.28,7.74
0.0523,561.73,29.393,5.838,23.88,2.14,6.961,860.99,848.32,707.0,719.45,704.66,705.81,2.014
1.7507,308.354,539.822,1.669,23.7,5.227,7.271,965.09,920.09,828.18,818.15,816.03,745.23,5.227
1.0626,570.192,605.878,4.868,17.67,3.308,6.143,892.81,822.26,871.93,756.79,758.31,760.2,3.308
1.8787,321.646,604.29,19.984,20.24,5.347,4.543,1028.52,945.31,904.21,872.13,868.86,712.07,5.272
1.5996,236.817,378.808,24.266,23.7,4.799,1.834,913.48,858.62,894.02,928.48,825.32,816.25,4.799
1.9959,508.998,1015.903,29.658,25.87,5.455,2.097,975.87,900.38,981.19,851.88,855.6,939.42,5.455
0.7079,296.043,209.574,11.045,23.81,5.306,2.577,844.9,859.83,920.65,847.73,857.03,898.17,5.291
1.5367,283.406,435.511,18.382,13.2,7.761,4.416,994.02,1005.4,864.5,958.04,921.2,837.96,7.761
0.8098,294.442,238.452,28.177,29.91,5.313,7.69,896.14,906.0,978.7,830.91,837.74,795.64,5.267
0.965,508.148,490.338,5.844,15.3,7.077,7.651,1070.01,1073.06,914.87,1040.93,835.37,931.21,7.077
1.2587,499.249,628.423,21.812,4.64,3.919,0.879,871.65,847.84,923.01,829.03,808.86,850.61,3.908
1.7486,242.41,423.883,22.894,13.43,4.629,3.267,888.98,782.42,884.38,822.75,850.15,866.44,4.579
1.9683,200.313,394.282,3.58,7.32,4.822,3.2,990.56,951.98,916.84,874.27,857.25,915.34,4.822
1.5389,295.411,454.597,25.976,7.16,3.672,0.8,819.83,911.26,846.26,827.04,756.38,701.41,3.656
0.8414,343.877,289.323,24.58,11.32,4.279,6.415,899.02,957.67,915.99,838.86,864.89,811.56,4.161
0.8485,143.383,121.661,1.969,5.39,5.591,4.385,933.84,886.19,879.61,864.23,814.58,740.36,5.447
1.4778,476.476,704.131,3.641,21.9,5.481,4.717,966.34,884.57,836.97,844.09,827.62,777.9,5.481
0.4852,292.146,141.74,2.425,5.92,5.819,8.365,1035.64,927.18,952.48,881.27,965.57,774.59,5.721
0.2298,200.76,46.143,10.708,9.29,4.111,5.221,872.6,918.14,804.72,875.87,746.96,714.87,4.111
0.7157,64.539,46.191,15.769,6.42,3.895,3.923,936.75,821.73,897.03,837.74,759.8,818.35,3.895
0.5816,143.688,83.57,16.438,5.64,5.67,6.43,963.0,929.92,986.28,963.06,840.9,792.36,5.64
0.5997,569.594,341.559,8.762,10.96,2.797,7.647,879.71,800.93,868.01,752.58,778.7,750.55,2.797
0.4749,183.407,87.096,27.436,18.87,3.518,5.741,885.44,908.89,761.95,804.76,844.3,683.37,3.518
0.0938,101.731,9.539,11.68,29.08,2.253,6.723,832.91,798.1,783.47,778.58,735.24,747.75,1.768
0.0456,276.673,12.608,2.321,26.76,2.436,4.636,879.92,799.29,896.32,773.09,792.21,718.42,2.298
1.9756,184.599,364.688,9.707,26.77,3.46,4.795,938.47,865.17,935.28,805.5,840.0,717.65,3.442
0.8613,21.578,18.584,16.402,8.58,2.117,5.283,774.22,809.28,771.08,809.67,759.38,655.8,2.053
0.7748,194.226,150.488,12.838,10.89,3.472,3.117,875.93,841.83,822.97,714.57,803.8,806.35,3.472
1.3625,326.693,445.119,8.941,5.99,5.93,3.58,996.04,907.52,862.06,916.76,902.32,891.85,5.93
0.4443,331.252,147.183,4.808,24.24,2.367,8.445,855.16,827.01,764.52,842.58,779.65,772.74,2.367
1.9004,214.257,407.179,24.756,5.82,4.62,10.02,948.95,871.84,880.9,846.12,778.22,732.34,4.62
1.5748,268.658,423.09,29.888,18.47,7.479,8.98,1106.2,1078.36,1009.49,813.97,900.68,932.3,7.408
0.1879,579.328,108.872,10.557,10.44,6.748,1.692,986.78,938.56,893.32,918.65,893.45,833.29,6.712
0.841,226.72,190.669,12.067,10.33,3.833,1.45,919.12,931.53,853.28,752.77,781.9,745.45,3.738
1.7594,155.307,273.254,18.923,29.76,7.549,2.023,1076.39,901.79,999.83,887.65,870.05,989.21,7.549
1.89,146.458,276.809,21.835,23.68,3.978,5.336,942.6,795.72,891.13,807.61,954.68,792.7,3.931
0.9401,274.93,258.47,12.369,25.76,2.435,0.8,725.43,795.65,861.69,754.84,752.12,757.32,2.191
1.2307,455.832,560.988,27.243,18.87,7.964,3.528,1004.07,942.79,1018.17,1046.04,946.15,774.18,7.964
0.3424,123.99,42.454,17.24,26.65,7.22,8.518,951.1,1018.97,999.51,744.39,878.08,952.55,7.125
1.9824,425.723,843.964,14.061,20.78,4.796,7.456,928.72,904.43,844.53,861.07,898.56,837.29,4.749
0.471,13.179,6.208,19.754,28.6,5.998,3.727,922.13,1004.19,957.12,904.61,828.16,931.31,4.998
1.886,251.65,474.622,28.631,11.31,6.027,3.917,1024.55,924.59,937.55,812.01,751.3,826.76,5.931
1.3028,465.631,606.623,24.042,19.48,3.167,6.418,889.54,922.82,774.31,746.07,704.87,696.45,3.167
